"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5"
3.200,0.412,0.00,0.0,3.200,1.476,-0.03,0.0,3.200,0.725,0.18,-0.2,3.200,0.248,-0.04,1.4,3.200,0.822,0.02,-3.2
3.300,0.412,0.00,0.0,3.300,1.472,-0.02,0.1,3.300,0.743,0.16,-0.1,3.300,0.233,0.12,1.1,3.300,0.837,-0.32,-2.7
3.400,0.413,-5.22E-4,0.0,3.400,1.469,-0.01,0.0,3.400,0.764,0.15,-0.1,3.400,0.239,0.25,0.7,3.400,0.815,-0.66,-1.5
3.500,0.413,0.00,0.0,3.500,1.468,-0.01,0.0,3.500,0.774,0.14,-0.1,3.500,0.260,0.35,0.2,3.500,0.783,-0.91,-0.1
3.600,0.413,-0.01,0.0,3.600,1.467,-0.01,0.0,3.600,0.790,0.12,-0.1,3.600,0.291,0.40,-0.3,3.600,0.685,-0.99,1.2
3.700,0.412,-0.01,0.0,3.700,1.466,0.00,0.0,3.700,0.804,0.10,0.1,3.700,0.332,0.39,-0.7,3.700,0.570,-0.90,2.1
3.800,0.411,-0.01,0.0,3.800,1.466,0.00,0.0,3.800,0.816,0.10,0.1,3.800,0.376,0.33,-0.8,3.800,0.483,-0.72,2.8
3.900,0.410,-0.01,0.0,3.900,1.466,-1.22E-4,0.0,3.900,0.823,0.13,0.1,3.900,0.415,0.23,-0.7,3.900,0.389,-0.48,3.2
4.000,0.409,-0.01,0.0,4.000,1.465,0.00,0.0,4.000,0.832,0.13,0.0,4.000,0.443,0.15,-0.6,4.000,0.325,-0.15,3.4
4.100,0.408,0.00,0.0,4.100,1.466,0.01,0.0,4.100,0.850,0.14,0.1,4.100,0.461,0.09,-0.5,4.100,0.293,0.19,3.1
4.200,0.407,-3.07E-4,0.0,4.200,1.466,0.01,0.0,4.200,0.865,0.13,0.2,4.200,0.470,0.03,-0.6,4.200,0.293,0.54,2.1
4.300,0.407,0.00,0.0,4.300,1.467,0.01,0.0,4.300,0.869,0.14,0.3,4.300,0.479,-0.01,-0.6,4.300,0.334,0.86,0.5
4.400,0.407,0.00,0.0,4.400,1.468,0.01,-0.1,4.400,0.894,0.17,0.3,4.400,0.477,-0.07,-0.5,4.400,0.398,1.03,-1.2
4.500,0.407,0.00,0.0,4.500,1.469,0.00,-0.1,4.500,0.898,0.21,0.1,4.500,0.474,-0.14,,4.500,0.514,0.98,
4.600,0.408,0.00,0.1,4.600,1.469,0.00,-0.1,4.600,0.920,0.24,-0.1,4.600,0.466,-0.19,,4.600,0.628,0.74,
4.700,0.408,0.00,0.3,4.700,1.469,-0.01,-0.1,4.700,0.945,0.24,-0.2,4.700,0.445,-0.19,,4.700,0.719,0.43,
4.800,0.408,0.01,0.5,4.800,1.469,-0.03,0.0,4.800,0.970,0.22,-0.3,4.800,0.422,,,4.800,0.781,,
4.900,0.408,0.05,0.5,4.900,1.466,-0.03,0.1,4.900,0.992,0.19,-0.3,4.900,0.407,,,4.900,0.805,,
5.000,0.409,0.11,0.4,5.000,1.464,-0.03,0.1,5.000,1.015,0.16,-0.2,5.000,0.407,,,5.000,0.805,,
5.100,0.415,0.17,0.2,5.100,1.458,-0.02,-0.1,5.100,1.030,0.12,-0.1,,,,,,,,
5.200,0.430,0.20,0.1,5.200,1.456,0.00,-0.3,5.200,1.046,0.11,-0.1,,,,,,,,
5.300,0.455,0.20,0.1,5.300,1.454,-0.03,-0.4,5.300,1.055,0.11,-0.1,,,,,,,,
5.400,0.474,0.20,0.1,5.400,1.459,-0.08,-0.4,5.400,1.060,0.11,-0.2,,,,,,,,
5.500,0.494,0.23,0.0,5.500,1.453,-0.13,-0.4,5.500,1.082,0.09,-0.3,,,,,,,,
5.600,0.513,0.24,-0.1,5.600,1.441,-0.16,-0.3,5.600,1.085,0.05,-0.3,,,,,,,,
5.700,0.536,0.24,-0.1,5.700,1.426,-0.20,-0.1,5.700,1.093,0.03,-0.2,,,,,,,,
5.800,0.570,0.22,-0.1,5.800,1.409,-0.23,0.1,5.800,1.102,0.00,-0.1,,,,,,,,
5.900,0.581,0.21,-0.1,5.900,1.387,-0.24,0.2,5.900,1.096,-0.01,-0.1,,,,,,,,
6.000,0.610,0.20,0.0,6.000,1.361,-0.19,0.0,6.000,1.099,-0.01,0.0,,,,,,,,
6.100,0.630,0.18,0.0,6.100,1.339,-0.17,-0.3,6.100,1.095,-0.02,0.0,,,,,,,,
6.200,0.649,0.19,0.1,6.200,1.311,-0.19,-0.3,6.200,1.096,-0.03,0.1,,,,,,,,
6.300,0.662,0.20,0.1,6.300,1.324,-0.25,-0.1,6.300,1.093,-0.02,0.1,,,,,,,,
6.400,0.688,0.21,0.1,6.400,1.273,-0.29,0.1,6.400,1.088,-0.01,0.0,,,,,,,,
6.500,0.704,0.21,0.1,6.500,1.260,-0.26,0.1,6.500,1.086,0.00,0.0,,,,,,,,
